	url
0	https://www.civilprotection.gr/el/ishyres-vrohes-kai-kataigides-provlepontai-simera-paraskeyi-kai-ayrio-savvato-poy-tha-synodeyontai
1	https://www.civilprotection.gr/el/simantika-themata/nikos-hardalias-apo-ti-thessaloniki-apo-deytera-xekinoyn-oi-katharismoi
2	https://www.civilprotection.gr/el/simantika-themata/epiheirisi-dryades-apo-tin-politiki-prostasia-gia-tin-antipyriki-thorakisi-tis
3	https://www.civilprotection.gr/el/simantika-themata/antipyriki-periodos-2021-synenteyxi-typoy-o-shediasmos-kai-oi-draseis-tis
4	https://www.civilprotection.gr/el/simantika-themata/den-paizoyme-me-ti-fotia-giati-i-fotia-den-paizei-mazi-mas-nea-enimerotiki
5	https://www.civilprotection.gr/el/simantika-themata/enimerosi-diapisteymenon-syntakton-apo-ton-ypoyrgo-ygeias-vasili-kikilia-kai-ton
6	https://www.civilprotection.gr/el/enimerosi-syntakton-apo-yfypoyrgo-politikis-prostasias-diaheirisis-kriseon-n-hardalia-kai-kathigites
7	https://www.civilprotection.gr/el/simantika-themata/anadimosieysi-deltioy-typoy-pyrosvestikoy-somatos-shetika-me-ti-dienergeia-askisis
8	https://www.civilprotection.gr/el/sti-thessaloniki-ayrio-o-nikos-hardalias-xekinoyn-oi-katharismoi-antipyrikis-thorakisis-sto-dasos
9	https://www.civilprotection.gr/el/simantika-themata/sto-tatoi-simera-o-nikos-hardalias-prohoroyn-me-entatiko-rythmo-ta-erga
10	https://www.civilprotection.gr/el/simantika-themata/oloklirothike-i-ektakti-syskepsi-gia-tin-attiki-se-efarmogi-ektetameno-programma
11	https://www.civilprotection.gr/el/simantika-themata/ishyres-vrohes-kai-kataigides-provlepontai-tis-epomenes-imeres-poy-tha
12	https://www.civilprotection.gr/el/stin-kerkyra-metavainei-o-nikos-hardalias-etoimo-neo-mega-emvoliastiko-kentro-tis-politikis
13	https://www.civilprotection.gr/el/sti-rodo-metavainei-o-nikos-hardalias
14	https://www.civilprotection.gr/el/simantika-themata/synantisi-nikoy-hardalia-me-dimarhoys-gia-tin-antipyriki-thorakisi-toy-ymittoy
15	https://www.civilprotection.gr/el/simantika-themata/oloklirothike-i-episkepsi-toy-nikoy-hardalia-sti-rodo-allazoyme-ta-panta-stin
16	https://www.civilprotection.gr/el/nea-ektakti-syskepsi-stin-politiki-prostasia-gia-tin-attiki
17	https://www.civilprotection.gr/el/simantika-themata/enimerosi-diapisteymenon-syntakton-apo-ton-yfypoyrgo-politikis-prostasias-5
18	https://www.civilprotection.gr/el/simantika-themata/sto-neo-emvoliastiko-kentro-tis-politikis-prostasias-stin-kerkyra-o-nikos
19	https://www.civilprotection.gr/el/simantika-themata/enimerosi-diapisteymenon-syntakton-apo-ton-yfypoyrgo-politikis-prostasias-4
20	https://www.civilprotection.gr/el/simantika-themata/etoimo-neo-mega-emvoliastiko-kentro-tis-politikis-prostasias-sti-rodo-nikos
21	https://www.civilprotection.gr/el/simantika-themata/se-pliri-egrigorsi-i-politiki-prostasia-kai-i-perifereia-attikis-etoimes-na
22	https://www.civilprotection.gr/el/simantika-themata/airontai-ta-eidika-perioristika-metra-stin-kalymno-apo-ti-deytera-24-maioy
